artist,title,year
Alice Cooper,Poison,1989
Belinda Carlisle,Heaven Is a Place on Earth,1987
Billy Joel,Uptown Girl,1983
Blondie,Atomic,1980
The Cure,Just Like Heaven,1987
Culture Club,Karma Chameleon,1983
Dexys Midnight Runners,Come On Eileen,1982
Dolly Parton,9 to 5,1980
Duran Duran,Rio,1982
Erasure,A Little Respect,1988
Europe,The Final Countdown,1986
Fairground Attraction,Perfect,1988
Foreigner,I Want to Know What Love Is,1984
Frankie Goes to Hollywood,The Power of Love,1984
Katrina and the Waves,Walking on Sunshine,1985
Madonna,Material Girl,1985
Marillion,Kayleigh,1985
Nena,99 Red Balloons,1984
The Pretenders,Brass in Pocket,1980
Run–D.M.C.,It's Tricky,1987
Simple Minds,Don't You (Forget About Me),1985
Soft Cell,Tainted Love,1981
Starship,We Built This City,1985
Survivor,Eye of the Tiger,1982
Tears for Fears,Everybody Wants to Rule the World,1985
Tina Turner,The Best,1989
Vanilla Ice,Ice Ice Baby,1990
Wham!,Wake Me Up Before You Go-Go,1984
